query_id,claim_id,claim
21919,12466,"month investigation that included more than 1,200 witness interviews and the collection of hundreds of thousands of documents."
21919,83812,"The committee has urged the Justice Department to consider charges of obstruction of an official proceeding, conspiracy to defraud the government, making knowingly and willfully materially false statements to the federal government, and inciting or assisting an insurrection."
21919,47149,"The criminal referrals do not carry any legal weight, but they represent a symbolic rebuke of Trump and his actions related to the Capitol riot."
21919,29114,"The committee has recommended a criminal referral to the Department of Justice for conservative attorney John Eastman, who the committee says was the architect of a scheme to pressure then"
21919,55928,Vice President Mike Pence to reject states' electoral votes on Jan. 6 and have fake electors submitted instead.
21919,67179,The committee has also referred four Republican members of Congress to the House Ethics Committee for defying subpoenas from the committee.
21919,55147,"The committee's final report is set to be released to the public on Wednesday, and it is expected to present a comprehensive case against Trump and his allies."
21919,57872,"The committee's recommendations come after nearly 18 months of investigation, during which it issued more than 100 subpoenas, held public hearings, and collected hundreds of thousands of documents."
21919,79231,"The Justice Department is already conducting a criminal probe of Trump for his role in the Jan. 6 riot, but the criminal referrals from the committee will add to the legal pressure he is facing."
21919,16962,The committee's criminal referrals are a significant step toward holding Trump and his allies accountable for their actions on Jan. 6 and ensuring that nothing falls through the cracks in the investigation.
88669,20147,"Russian President Vladimir Putin sent up to 200,000 soldiers into Ukraine on February 24, 2022, with the goal of demilitarizing and denazifying the country."
88669,15348,"The initial invasion plan failed, and Putin's goals have since been adjusted to focus on the ""liberation of Donbas,"" referring to the eastern regions of Luhansk and Donetsk."
88669,38398,"The war has become protracted, with a significant number of Russian retreats and little success in achieving the goal of Donbas liberation."
88669,83120,"Russia's biggest success in the war is establishing a land bridge from its border to Crimea, allowing the country to rely less on the Kerch Strait."
88669,64568,"The war has exposed the brutality and inadequacy of the Russian military, with Western nations providing support to Ukraine and promising never to be divided by Russia."
88669,70723,"The fight for Donbas continues, with Russia capturing Soledar this year and aiming to recapture other lost territory and extend control."
88669,58852,President Putin has indicated a willingness to use nuclear weapons if necessary to protect Russia and maintain occupied Ukrainian land.
88669,20222,The war is ongoing with no clear end in sight.
86274,53212,Five armed Palestinian groups joined Hamas in the deadly October 7 attack on Israel after training together in military
86274,27951,style exercises from 2020 onwards.
86274,20234,They practised hostage
86274,33856,"taking, raiding compounds, and breaching Israel's defenses during these exercises."
86274,41872,"The first drill was held on December 29, 2020, and was followed by three other joint drills over the next three years."
86274,64030,"Hamas leader Ismail Haniyeh declared the drills as a ""strong message and a sign of unity"" between Gaza's armed factions."
86274,75924,"The groups involved in the drills included Palestinian Islamic Jihad (PIJ), the Mujahideen Brigades, and Al"
86274,60670,Nasser Salah al
86274,87672,"Deen Brigades, among others."
86274,51661,"These groups claimed to have participated in the assault on Israel on October 7, with three of them claiming to have seized Israeli hostages."
86274,28847,The role of these groups has come into focus as pressure builds on Hamas to locate the hostages.
86274,88571,Efforts to extend the temporary truce in Gaza were said to be hinging on Hamas finding the hostages.
86274,38384,All the groups involved in the drills shared a willingness to use violence against Israel.
86274,23526,The drills simulated the liberation of settlements near Gaza and aimed to show that Gaza's borders would not protect Israel.
86274,12400,The Israel Defense Forces (IDF) bombed the site used for the first drill in April 2023.
86274,44661,The IDF had intelligence on the training activities but did not see what the groups were training for.
86274,45845,The drills were designed to be realistic and took place in close proximity to the Gaza
86274,23537,Israel border.
