query_id,claim_id,claim,contradicts,supports,contradicts_len,supports_len,type_sanity,issue,open_question_id,open_question
46196,49028,"Several Republican lawmakers, including Kevin McCarthy, Jim Jordan, Scott Perry, and Andy Biggs, have been referred to the House Ethics Committee for failure to comply with subpoenas from the committee.","[[(76402, '(2021, 1, 6)', 'None.')], [(89356, '(2021, 1, 6)', 'None.')], [(66103, '(2021, 1, 6)', 'None.')], [(85735, '(2021, 2, 9)', 'None.')], [(12274, '(2021, 2, 10)', 'None.')], [(24011, '(2021, 10, 22)', 'None.')], [(77501, '(2022, 12, 23)', 'None.')], [(40482, '(2022, 12, 23)', ""But in the new year, Republicans will take control of the House of Representatives, which means it's possible that these four House members don't face any repercussions."")]]","[<generator object gather_excerpts.<locals>.<genexpr> at 0x168ee6ac0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x168ee6820>, <generator object gather_excerpts.<locals>.<genexpr> at 0x169b2e120>, <generator object gather_excerpts.<locals>.<genexpr> at 0x168ee6dd0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x169b2e3c0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x169b2e5f0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x169b2ec80>, <generator object gather_excerpts.<locals>.<genexpr> at 0x169b2e820>]",8,8,False,,,
46196,44739,The committee's recommendations and findings are expected to inform future legislation and efforts to strengthen democracy and prevent similar attacks in the future.,"[[(76402, '(2021, 1, 6)', 'None.')], [(89356, '(2021, 1, 6)', 'None.')], [(66103, '(2021, 1, 6)', 'None.')], [(85735, '(2021, 2, 9)', 'None.')], [(12274, '(2021, 2, 10)', 'Then-President Donald Trump speaks to supporters from the Ellipse, near the White House, on Jan. 6 ahead of that day\'s insurrection at the Capitol. His comments are a key part of the impeachment trial against him.\n\nFormer President Donald Trump\'s remarks on the Ellipse on Jan. 6, urging his supporters to march on the Capitol as Congress was certifying the results of November\'s presidential election, are a key part of the case against Trump being made by House impeachment managers and are also being used by the lawyers who are defending him.\n\nDemocrats have pointed to one phrase in particular as they argue that Trump incited those present to march down Pennsylvania Avenue toward the Capitol.\n\nHis defense lawyers, however, point to a different passage, in which Trump said, ""I know that everyone here will soon be marching over to the Capitol building to peacefully and patriotically make your voices heard."" They argue that his words were not a call for actual violence and lawlessness.\n\nOur country has had enough. We will not take it anymore and that\'s what this is all about.\n\nToday I will lay out just some of the evidence proving that we won this election and we won it by a landslide. \n\nWe didn\'t lose. And by the way, does anybody believe that Joe had 80 million votes?')], [(24011, '(2021, 10, 22)', 'None.')], [(77501, '(2022, 12, 23)', 'None.')], [(40482, '(2022, 12, 23)', 'None.')]]","[<generator object gather_excerpts.<locals>.<genexpr> at 0x169b2e970>, <generator object gather_excerpts.<locals>.<genexpr> at 0x169b2e9e0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x169b2e580>, <generator object gather_excerpts.<locals>.<genexpr> at 0x169b2edd0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16a140120>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16a1403c0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16a140200>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16a140890>]",8,8,False,,,
46196,63576,The report highlights the dangerous consequences of Trump's false claims about the election and the need to protect the integrity of American elections.,"[[(76402, '(2021, 1, 6)', 'None.')], [(89356, '(2021, 1, 6)', 'None.')], [(66103, '(2021, 1, 6)', 'None.')], [(85735, '(2021, 2, 9)', 'None.')], [(12274, '(2021, 2, 10)', 'None.')], [], [(77501, '(2022, 12, 23)', 'None.')], []]","[<generator object gather_excerpts.<locals>.<genexpr> at 0x16a140c80>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16a1404a0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16a140a50>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16a140820>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16a140350>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16a867190>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16a8672e0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16a8677b0>]",6,8,False,,,
46196,88784,The committee's investigation lasted roughly 18 months and included multiple public hearings and the review of thousands of documents.,"[[(76402, '(2021, 1, 6)', 'None.')], [(89356, '(2021, 1, 6)', 'None.')], [(66103, '(2021, 1, 6)', 'None.')], [(85735, '(2021, 2, 9)', 'None.')], [(12274, '(2021, 2, 10)', 'None.')], [(24011, '(2021, 10, 22)', 'None.')], [(77501, '(2022, 12, 23)', 'None.')], []]","[<generator object gather_excerpts.<locals>.<genexpr> at 0x16a867b30>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16a140ba0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16a867c10>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16a867dd0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16a867a50>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16af9c0b0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16a867890>, <generator object gather_excerpts.<locals>.<genexpr> at 0x1269d0740>]",7,8,False,,,
46196,49578,The report concludes that the attack on the Capitol was an unprecedented assault on democracy and that measures must be taken to prevent future attacks and hold those responsible accountable.,"[[(76402, '(2021, 1, 6)', 'None.')], [(89356, '(2021, 1, 6)', 'None.')], [], [(85735, '(2021, 2, 9)', 'None.')], [], [(24011, '(2021, 10, 22)', 'None.')], [(77501, '(2022, 12, 23)', 'None.')], [(40482, '(2022, 12, 23)', 'None.')]]","[<generator object gather_excerpts.<locals>.<genexpr> at 0x12697b580>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16af9c3c0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16af9c350>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16af9c9e0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16af9ce40>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16af9ca50>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16af9ceb0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16b5ae350>]",6,8,False,,,
46196,52578,The committee's findings are expected to contribute to ongoing efforts to hold accountable those who participated in the attack and to ensure the security of the Capitol and other government buildings.,"[[], [], [(66103, '(2021, 1, 6)', 'None.')], [(85735, '(2021, 2, 9)', 'None.')], [(12274, '(2021, 2, 10)', 'None.')], [(24011, '(2021, 10, 22)', 'None.')], [(77501, '(2022, 12, 23)', 'None.')], [(40482, '(2022, 12, 23)', 'None.')]]","[<generator object gather_excerpts.<locals>.<genexpr> at 0x16b5ae040>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16af9cc80>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16b5ae270>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16b5ae4a0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16b5ae9e0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16b5aecf0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16b5aef20>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16b5ae3c0>]",6,6,False,,,
46196,79904,The report underscores the importance of an informed and active citizenry in protecting democracy and upholding the rule of law.,"[[(76402, '(2021, 1, 6)', 'None.')], [(89356, '(2021, 1, 6)', 'None.')], [(66103, '(2021, 1, 6)', 'None.')], [(85735, '(2021, 2, 9)', 'None.')], [(12274, '(2021, 2, 10)', 'None.')], [(24011, '(2021, 10, 22)', '- Facebook rolled back many of the dozens of election-season measures that it had used to suppress hateful, deceptive content.\n- The company’s Civic Integrity team was largely disbanded by a management that had grown weary of the team’s criticisms of the company.\n- Facebook has never publicly disclosed what it knows about how its platforms, including Instagram and WhatsApp, helped fuel that day’s mayhem.\n- The company rejected its own Oversight Board’s recommendation that it study how its policies contributed to the violence.\n- The SEC documents suggest that Facebook moved too quickly after the election to lift measures that had helped suppress some election-related misinformation.\n- The rushed effort to restore protective measures on Jan. 6 was not enough to stop the surge of hateful, violent posts.\n- The documents also provide ample evidence that the company’s internal research over several years had identified ways to diminish the spread of political polarization, conspiracy theories, and incitements to violence but that in many instances, executives had declined to implement those steps.')], [(77501, '(2022, 12, 23)', 'None.')], [(40482, '(2022, 12, 23)', 'None.')]]","[<generator object gather_excerpts.<locals>.<genexpr> at 0x16bfcb6d0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16bfcb200>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16bfcb3c0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16b5aec80>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16bfcb350>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16bfcb5f0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16bfcbe40>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16bfcb970>]",8,7,False,,,
66761,34570,Venezuela's opposition will hold a primary on Sunday to pick its candidate for the 2024 presidential elections.,"[[(27214, '(2023, 2, 15)', ""Feb 15 (Reuters) - Venezuela's opposition said on Wednesday it will hold a presidential primary on Oct. 22 to choose a candidate to face the ruling party in presidential elections tentatively scheduled for 2024. The primary is the opposition's first since 2012.\nThe next move is for the 10-person opposition committee tasked with scheduling the vote to meet with the country's National Electoral Council, Jesus Maria Casal, the head of the council, told journalists. He did not give a date for when that would happen.\nAt least a dozen people from various opposition parties have said they will run in the primary, including some who are barred from participating in politics by judicial rulings the opposition considers undemocratic.\nOne of those barred is former state governor Henrique Capriles, who won the opposition's last primary over a decade ago, before losing the 2012 presidential vote to late former President Hugo Chavez.\nThe main coalition of opposition parties boycotted the 2018 presidential vote when Maduro won re-election, a victory which they and countries including the United States consider fraudulent.\nMaduro, who is enjoying renewed relations with neighbors Colombia and Brazil and some loosened U.S. restrictions on the oil industry, has not yet set a date for the 2024 vote and has intimated it could be moved earlier."")], [(44655, '(2023, 10, 2)', 'None.')], [(89552, '(2023, 10, 17)', 'None.')], [(86202, '(2023, 10, 18)', 'None.')], [(38377, '(2023, 10, 19)', 'None.')], [(26069, '(2023, 10, 22)', 'None.')], [(28217, '(2023, 10, 26)', ""CARACAS, Oct 26 (Reuters) - Former lawmaker Maria Corina Machado was formally declared the victor of the Venezuelan opposition's weekend presidential primary on Thursday, as a government official warned foreign diplomats not to interfere in the electoral process. The country's attorney general said on Wednesday his office has launched a criminal investigation into the primary and members of its organizing commission. The primary's organizing commission tried unsuccessfully to involve electoral authorities, said commission head Jesus Maria Casal, who is among those under investigation."")], [(79145, '(2023, 10, 30)', 'Venezuela’s high court on Monday suspended the opposition’s entire primary election process, including its result, in the latest challenge by the government of President Nicolás Maduro to its adversaries ahead of the 2024 presidential vote. The court ruled the opposition’s Oct. 22 contest may be in violation of the law. It was not immediately clear whether the suspension would effectively result in the nullification of the primary vote. The Associated Press could not immediately seek clarification from the head of the National Primary Commission as he entered the attorney general’s office minutes after the ruling was issued. The commission is an independent body that formed to organize the opposition’s primary. The court ordered organizers to hand over all ballots, tally sheets and other documents, under the argument that the independent contest may be in violation of the law. It also ratified the bans imposed by Maduro’s government on three candidates, including winner María Corina Machado, on running for office. None.')], [(59886, '(2023, 10, 31)', 'CARACAS, Oct 30 (Reuters) - Venezuela\'s Supreme Justice Tribunal said on Monday it has suspended the results of an opposition presidential primary that took place this month, despite an electoral deal between the government and the opposition that allows each side to choose its candidate.\nThe decision by the court, which the opposition considers an arm of the government, comes after the attorney general announced last week that his office is investigating the primary and members of its organizing commission for electoral violations, financial crimes and conspiracy.\nThe opposition and the primary\'s winner Maria Corina Machado have insisted repeatedly the Oct. 22 vote was transparent and fair.\nThe commission must present all documents related to its creation, candidate registration, voting records and other documents, the tribunal said.\nThe ruling ""temporarily suspends the primary until there is a final decision from the tribunal,"" said lawyer and university professor Jose Vicente Haro.\nSome observers said the opposition parties that participated in the primary should simply recognize Machado once again as their unity candidate, making any ruling on the contest moot.')]]","[<generator object gather_excerpts.<locals>.<genexpr> at 0x16bfcb740>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16bfcbeb0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16cb0c510>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16cb0c890>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16cb0c580>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16cb0c5f0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16cb0ccf0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16cb0c970>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16cb0cd60>]",9,8,False,,,
66761,24121,"At least a dozen people, including some who are barred from participating in politics, have said they will run in the primary.","[[(27214, '(2023, 2, 15)', 'None.')], [(44655, '(2023, 10, 2)', 'None.')], [(89552, '(2023, 10, 17)', 'None.')], [(86202, '(2023, 10, 18)', 'None.')], [(38377, '(2023, 10, 19)', 'None.')], [(26069, '(2023, 10, 22)', 'None.')], [(28217, '(2023, 10, 26)', 'None.')], [(79145, '(2023, 10, 30)', 'None.')], [(59886, '(2023, 10, 31)', 'None.')]]","[<generator object gather_excerpts.<locals>.<genexpr> at 0x16cb0cdd0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16e331430>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16cb0cba0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16e331ba0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16e3313c0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16e331cf0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16e331660>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16e331820>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16e331f20>]",9,9,False,,,
66761,65147,The opposition hopes to rally supporters after years of attempts to unseat President Nicolas Maduro.,"[[(27214, '(2023, 2, 15)', 'None.')], [(44655, '(2023, 10, 2)', 'None.')], [(89552, '(2023, 10, 17)', 'None.')], [(86202, '(2023, 10, 18)', 'None.')], [(38377, '(2023, 10, 19)', 'None.')], [], [(28217, '(2023, 10, 26)', 'None.')], [(79145, '(2023, 10, 30)', '- The opposition’s entire primary election process, including its result, has been suspended by Venezuela’s high court\n- The court ruled that the opposition’s contest may be in violation of the law\n- It is not clear whether the suspension will nullify the primary vote\n- The court ordered organizers to hand over all ballots, tally sheets, and other documents\n- The court ratified bans imposed by Maduro’s government on three candidates, including the winner María Corina Machado.')], [(59886, '(2023, 10, 31)', 'None.')]]","[<generator object gather_excerpts.<locals>.<genexpr> at 0x16e331d60>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16ea53740>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16ea53190>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16ea53430>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16ea53270>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16ea53890>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16ea53eb0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16ea53c80>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16ea53f90>]",8,9,False,,,
66761,44775,The primary is the opposition's first since 2012.,"[[(27214, '(2023, 2, 15)', ""Oct 18, 2023 - Venezuela's opposition will hold a primary on Sunday to pick its candidate for 2024 presidential elections\nThe primary is the opposition's first since 2012.\nThe main coalition of opposition parties boycotted the 2018 presidential vote when Maduro won re-election, a victory which they and countries including the United States consider fraudulent."")], [(44655, '(2023, 10, 2)', 'None.')], [(89552, '(2023, 10, 17)', 'None.')], [(86202, '(2023, 10, 18)', 'The primary is the first the opposition has held in 11 years. It has not backed a presidential candidate in a general election since 2013.')], [(38377, '(2023, 10, 19)', 'None.')], [(26069, '(2023, 10, 22)', 'None.')], [(28217, '(2023, 10, 26)', 'None.')], [(79145, '(2023, 10, 30)', 'None.')], [(59886, '(2023, 10, 31)', 'None.')]]","[<generator object gather_excerpts.<locals>.<genexpr> at 0x16f193200>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16ea53c10>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16f193270>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16f1934a0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16f193ac0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16f193e40>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16cb0cb30>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16f193970>, <generator object gather_excerpts.<locals>.<genexpr> at 0x16f193ba0>]",9,9,False,,,
